Name,EmployeId,Gender,Age,MaritalStatus,EducationField,Qualifications,Vertical,Role,Work Experience,DistanceFromHome,Daily,Hour,Monthly,MonthlyRate,OverTime,Hours,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,Turnover,Travelling,Satisfaction,Engagement,JobLevel,Last Rating,SalaryHike,Work&Life
Dale,IDSL075,M,34,Single,Life Sciences,4,Sales,Sales Executive,2,2,1492,31,8471,26897,No,80,8,7,7,5,4,No,Sometimes,4,3,3,3,17,3
Dallas,IDSL273,M,56,Single,Life Sciences,2,Sales,Sales Executive,6,4,1392,30,17539,21374,Yes,80,4,2,0,2,2,No,No,3,3,3,3,14,2
Dalton,IDSL236,M,59,Married,Medical,3,Sales,Sales Executive,0,3,1379,83,19845,3930,No,80,17,7,4,16,2,No,Sometimes,4,3,4,3,19,2
Damian,IDRD451,M,40,Divorced,Life Sciences,4,Research & Development,Research Scientist,9,3,1372,73,5300,3521,No,80,7,7,1,2,3,No,Sometimes,4,4,2,3,18,3
Damien,IDRD586,M,48,Married,Life Sciences,4,Research & Development,Laboratory Technician,1,4,526,68,4712,24323,Yes,80,10,9,1,7,3,No,Sometimes,2,3,2,3,14,3
Damon,IDSL270,M,48,Married,Life Sciences,3,Sales,Sales Executive,3,4,822,77,4377,5494,No,80,4,0,1,3,3,No,Sometimes,1,3,2,3,14,2
Dan,IDRD403,M,45,Married,Medical,2,Research & Development,Laboratory Technician,8,7,751,44,2407,6138,No,80,3,2,2,2,2,No,No,4,3,2,3,12,3
Dana,IDRD623,F,35,Divorced,Medical,3,Sales,Sales Executive,1,7,1336,75,10546,6145,No,80,14,7,6,2,3,No,Sometimes,3,2,3,3,14,3
Dana,IDSL111,M,41,Single,Life Sciences,2,Research & Development,Healthcare Representative,6,10,986,90,5291,25690,No,80,5,3,1,2,1,No,Sometimes,4,3,3,3,12,3
Dane,IDHR059,M,46,Married,Medical,2,Human Resources,Laboratory Technician,1,24,221,86,2030,16321,No,80,5,0,1,4,4,No,Mostly,3,4,1,3,11,3
Daniel,IDRD009,M,27,Single,Life Sciences,2,Research & Development,Manufacturing Director,0,11,1044,81,4140,9628,No,80,8,7,0,7,2,Yes,Sometimes,4,4,2,3,14,3
Daniela,IDRD582,F,37,Married,Life Sciences,3,Research & Development,Healthcare Representative,1,2,1326,86,3730,13228,No,80,13,11,0,9,6,No,No,3,2,2,4,21,3
Daniella,IDRD932,F,40,Single,Marketing,4,Research & Development,Healthcare Representative,1,18,589,53,10494,22314,No,80,15,13,1,6,3,No,Mostly,3,1,3,3,11,3
Danielle,IDRD110,F,33,Divorced,Medical,4,Research & Development,Research Scientist,8,9,783,63,2886,18725,Yes,80,5,3,1,2,0,No,Mostly,1,3,1,3,13,4
Danny,IDRD173,M,27,Single,Medical,1,Research & Development,Laboratory Technician,1,9,991,76,2920,7621,No,80,2,2,2,2,2,No,Mostly,3,3,1,4,23,4
Dante,IDRD720,M,33,Single,Life Sciences,3,Research & Development,Manufacturing Director,2,3,679,62,4502,14765,Yes,80,1,0,0,0,1,No,Sometimes,2,2,1,3,12,2
Daphne,IDRD802,F,37,Single,Medical,1,Research & Development,Research Director,0,5,1319,76,19624,15606,No,80,10,0,0,9,4,No,Sometimes,4,2,3,3,19,3
Darin,IDRD862,M,58,Single,Human Resources,2,Research & Development,Research Scientist,1,29,595,59,4959,4903,Yes,80,0,0,0,0,3,No,Sometimes,4,3,2,4,25,4
Darius,IDRD646,M,34,Married,Life Sciences,3,Research & Development,Manufacturing Director,9,1,1325,73,10170,24509,No,80,9,7,1,2,2,No,Sometimes,3,3,3,3,13,3
Darla,IDRD746,F,26,Married,Life Sciences,4,Research & Development,Laboratory Technician,1,7,656,31,2823,15131,No,80,5,2,0,3,1,No,Sometimes,2,3,1,4,25,3
Darlene,IDRD240,F,50,Divorced,Medical,1,Research & Development,Manager,1,10,833,65,19845,11741,No,80,29,16,11,4,3,No,Sometimes,3,3,4,4,22,2
Darnell,IDRD952,M,40,Divorced,Medical,5,Research & Development,Manufacturing Director,6,2,345,46,5022,5742,Yes,80,9,3,0,7,2,No,Mostly,2,3,2,3,12,3
Darrel,IDRD927,M,35,Single,Medical,3,Research & Development,Laboratory Technician,1,11,576,68,2336,5910,No,80,5,4,0,4,3,No,Sometimes,2,3,1,3,11,2
Darrell,IDSL131,M,48,Divorced,Marketing,4,Sales,Sales Executive,0,7,1338,61,4268,5599,Yes,80,10,9,1,8,3,No,Sometimes,3,3,2,3,12,3
Darren,IDRD379,M,40,Single,Other,4,Research & Development,Healthcare Representative,3,10,111,43,3340,6402,No,80,6,3,4,3,4,No,Mostly,3,3,2,3,19,3
Darrin,IDRD917,M,49,Married,Life Sciences,2,Research & Development,Manager,1,21,1168,67,13486,25894,No,80,27,12,14,10,5,No,Sometimes,1,2,4,3,12,1
Darryl,IDHR029,M,34,Single,Life Sciences,4,Human Resources,Manufacturing Director,1,26,648,37,6624,24919,No,80,10,7,6,0,2,Yes,Sometimes,1,3,2,3,14,2
Daryl,IDRD549,M,48,Married,Life Sciences,3,Research & Development,Laboratory Technician,1,16,1381,86,2881,4001,No,80,5,4,0,3,3,No,Sometimes,1,3,1,3,13,4
Dave,IDHR043,M,34,Married,Human Resources,3,Human Resources,Sales Executive,4,2,491,47,6123,24890,No,80,1,0,0,0,2,No,Sometimes,3,4,2,3,11,3
David,IDRD004,M,25,Single,Life Sciences,3,Research & Development,Laboratory Technician,1,2,1370,40,2332,14251,No,80,4,2,2,2,2,No,Sometimes,4,1,1,3,12,2
Davis,IDSL437,M,54,Married,Other,3,Sales,Sales Executive,0,1,1028,69,19787,18796,Yes,80,10,7,7,16,1,No,No,1,3,5,3,14,3
Dawn,IDSL072,F,27,Divorced,Technical Degree,3,Sales,Sales Executive,1,17,320,62,4028,15528,Yes,80,5,0,0,0,3,Yes,Mostly,3,3,2,3,17,4
Dawson,IDRD784,M,23,Married,Life Sciences,3,Research & Development,Research Scientist,1,7,1490,60,2129,26650,No,80,15,3,1,7,3,No,Sometimes,1,3,1,3,16,2
Dean,IDRD264,M,25,Married,Medical,5,Research & Development,Laboratory Technician,0,1,949,56,2010,9167,No,80,0,9,0,1,5,No,Sometimes,4,1,1,4,20,2
Deandre,IDRD963,M,30,Married,Life Sciences,3,Research & Development,Research Scientist,1,2,234,74,1545,19838,No,80,3,2,1,2,3,No,Mostly,4,2,1,3,19,3
Deanna,IDRD336,F,22,Divorced,Medical,3,Research & Development,Research Scientist,1,1,414,33,4407,6924,No,80,1,0,0,0,2,No,Sometimes,3,3,1,4,25,3
Debbie,IDRD259,F,21,Single,Medical,2,Research & Development,Laboratory Technician,1,22,1006,30,3565,16670,No,80,1,0,0,0,4,No,No,4,2,1,4,21,3
Debora,IDRD936,F,42,Divorced,Medical,4,Research & Development,Manufacturing Director,7,29,1414,96,10367,10822,Yes,80,10,5,15,9,3,Yes,Sometimes,3,2,3,3,12,3
Deborah,IDRD053,F,28,Divorced,Medical,3,Research & Development,Research Scientist,4,1,1081,96,2423,24376,No,80,5,2,2,2,2,No,Sometimes,4,3,1,3,12,2
Debra,IDRD077,F,34,Married,Medical,3,Research & Development,Laboratory Technician,1,11,744,42,3182,24634,No,80,10,7,6,7,2,No,Mostly,3,3,2,3,13,4
Declan,IDRD796,M,40,Married,Other,3,Research & Development,Laboratory Technician,3,17,496,84,5870,22246,No,80,5,3,0,2,3,No,Sometimes,1,3,2,3,12,3
Delaney,IDRD805,F,37,Married,Medical,3,Research & Development,Research Scientist,0,11,111,59,2266,3870,No,80,3,3,1,1,0,No,Mostly,1,2,1,3,11,3
Delbert,IDSL332,M,46,Single,Human Resources,4,Sales,Sales Executive,7,16,620,44,7088,4350,No,80,9,4,0,7,2,No,Sometimes,1,3,5,3,12,2
Delia,IDRD813,F,56,Divorced,Life Sciences,3,Research & Development,Laboratory Technician,1,4,895,53,2309,10025,No,80,10,0,0,0,3,No,Sometimes,4,2,1,3,11,3
Delilah,IDSL364,F,30,Divorced,Life Sciences,4,Sales,Manager,4,1,552,54,13205,9511,No,80,9,8,0,8,5,No,Sometimes,2,3,3,4,21,1
Della,IDSL267,F,43,Divorced,Marketing,4,Sales,Sales Executive,8,19,1495,78,7468,10587,No,80,7,2,1,7,4,No,Sometimes,3,3,2,3,12,3
Delores,IDSL187,F,28,Single,Life Sciences,3,Sales,Sales Executive,1,24,245,40,6335,4356,No,80,4,3,4,4,6,No,Sometimes,1,3,2,3,14,2
Deloris,IDRD844,F,25,Single,Medical,2,Research & Development,Laboratory Technician,2,2,808,91,3263,23035,No,80,2,2,2,0,2,Yes,Sometimes,1,3,1,3,12,3
Demetrius,IDRD826,M,30,Married,Life Sciences,2,Research & Development,Laboratory Technician,3,22,111,44,3328,13342,Yes,80,3,2,1,2,4,Yes,Sometimes,3,2,2,4,23,2
Dena,IDSL415,F,55,Married,Marketing,2,Sales,Sales Executive,7,1,239,72,17368,9433,Yes,80,3,2,11,3,3,No,Sometimes,2,3,3,3,12,2
Denise,IDRD118,F,50,Married,Medical,4,Research & Development,Research Scientist,3,12,419,94,3247,26277,No,80,7,4,6,1,5,No,Sometimes,4,3,1,3,12,3
Dennis,IDRD062,M,45,Married,Life Sciences,1,Research & Development,Manager,4,18,1492,51,19717,2174,No,80,10,9,11,1,2,No,Sometimes,1,4,4,4,20,3
Derek,IDSL087,M,37,Married,Marketing,3,Sales,Sales Executive,4,26,1495,48,6614,6998,No,80,0,0,0,0,2,No,Sometimes,4,3,2,3,13,3
Derrick,IDRD318,M,47,Single,Life Sciences,3,Research & Development,Research Scientist,3,2,519,31,2951,11303,No,80,0,0,0,0,4,Yes,Sometimes,2,3,1,3,12,3
Desiree,IDSL228,F,39,Single,Marketing,3,Sales,Sales Executive,2,20,297,46,9252,21528,No,80,1,8,0,0,2,No,Sometimes,3,3,4,3,15,4
Desmond,IDSL385,M,24,Married,Marketing,4,Sales,Sales Executive,0,15,1298,73,4624,17154,No,80,7,7,0,7,2,No,Sometimes,4,3,2,3,19,2
Destiny,IDRD323,F,36,Married,Life Sciences,1,Research & Development,Research Director,2,8,1057,43,19335,17610,No,80,7,4,7,7,2,No,Sometimes,2,2,4,3,11,3
Devin,IDRD307,M,41,Single,Medical,3,Research & Development,Manufacturing Director,0,8,1229,37,5207,14418,No,80,8,7,0,7,2,No,Sometimes,1,4,2,3,11,3
Devon,IDRD508,M,29,Divorced,Life Sciences,2,Research & Development,Laboratory Technician,6,23,1153,35,3799,17045,Yes,80,3,1,3,3,2,No,Sometimes,2,3,1,4,21,3
Dewey,IDRD850,M,28,Married,Medical,1,Research & Development,Manufacturing Director,1,10,1161,94,4203,21448,No,80,3,3,0,2,2,No,Mostly,4,1,2,4,24,3
Dexter,IDRD838,M,34,Married,Technical Degree,1,Research & Development,Research Scientist,1,2,1091,65,2394,5838,No,80,10,8,6,9,3,No,Sometimes,2,3,1,3,14,3
Diamond,IDSL419,F,51,Married,Medical,4,Sales,Sales Executive,4,5,347,90,19326,13887,Yes,80,1,8,0,0,6,Yes,Mostly,3,2,4,3,14,4
Diana,IDRD123,F,20,Single,Medical,1,Research & Development,Research Scientist,1,2,179,93,2766,18481,Yes,80,1,0,0,0,5,Yes,Sometimes,4,3,1,3,16,3
Diane,IDRD081,F,39,Married,Life Sciences,2,Research & Development,Healthcare Representative,1,3,1321,64,8884,8608,No,80,9,4,0,7,3,No,Sometimes,1,3,2,4,25,3
Dianna,IDRD603,F,22,Married,Human Resources,2,Research & Development,Research Scientist,5,26,613,33,2937,4559,Yes,80,3,1,3,4,2,No,Mostly,1,3,1,3,18,3
Dianne,IDSL209,F,34,Divorced,Medical,3,Sales,Sales Executive,6,1,992,98,6540,14063,No,80,4,4,1,3,5,No,Sometimes,2,3,2,3,11,3
Dick,IDRD953,M,55,Divorced,Life Sciences,4,Research & Development,Manager,1,21,1135,74,13052,22793,No,80,20,7,15,15,2,No,Sometimes,2,3,4,4,21,3
Diego,IDRD402,M,45,Married,Medical,4,Research & Development,Research Director,9,11,426,85,10456,25344,No,80,18,15,11,15,6,No,Sometimes,2,3,3,3,11,4
Dillon,IDRD562,M,35,Single,Life Sciences,2,Research & Development,Manufacturing Director,1,4,782,81,7213,13783,Yes,80,10,7,6,8,2,No,Sometimes,3,3,3,3,12,2
Dina,IDSL426,F,24,Married,Life Sciences,2,Sales,Sales Executive,1,8,1044,32,9262,12398,No,80,10,7,4,6,2,No,Sometimes,3,2,3,3,11,3
Dixie,IDRD738,F,25,Single,Medical,3,Research & Development,Research Scientist,1,24,1406,49,2613,25729,No,80,1,0,0,0,6,No,No,1,3,1,3,13,3
Dolores,IDSL106,F,35,Married,Marketing,5,Sales,Sales Executive,3,1,1165,69,6871,12577,No,80,6,7,0,2,3,No,Sometimes,1,2,2,3,19,2
Dominic,IDSL127,M,30,Married,Medical,2,Sales,Sales Executive,2,2,1344,30,6709,14313,Yes,80,5,4,0,2,2,No,Sometimes,1,4,3,3,14,3
Dominick,IDRD567,M,37,Divorced,Life Sciences,4,Research & Development,Laboratory Technician,1,8,150,71,4220,6542,Yes,80,3,2,4,4,3,Yes,Sometimes,1,2,1,3,12,3
Dominique,IDSL298,F,42,Divorced,Marketing,3,Sales,Sales Executive,1,1,1313,57,4388,12165,No,80,13,12,1,11,3,No,Sometimes,3,3,2,3,14,4
Don,IDRD294,M,29,Single,Life Sciences,3,Research & Development,Laboratory Technician,1,6,1384,85,2032,17103,No,80,0,0,0,0,0,Yes,Sometimes,3,3,1,3,13,3
Donald,IDSL005,M,29,Divorced,Life Sciences,5,Sales,Sales Executive,1,2,371,32,5321,26365,No,80,16,11,5,9,3,No,Mostly,4,1,2,3,18,3
Donna,IDRD041,F,25,Married,Life Sciences,2,Research & Development,Manufacturing Director,1,7,948,91,10729,15172,No,80,18,9,0,9,3,No,Sometimes,3,3,3,4,23,3
Donnie,IDSL285,M,18,Divorced,Medical,3,Sales,Sales Executive,2,15,1187,66,9723,11297,No,80,9,3,2,7,0,No,No,3,3,3,4,21,2
Donovan,IDRD597,M,31,Married,Technical Degree,2,Research & Development,Laboratory Technician,3,2,533,54,2227,24969,No,80,1,0,0,0,2,No,Sometimes,3,3,1,3,13,4
Dora,IDSL201,F,31,Married,Medical,3,Sales,Sales Executive,1,6,785,93,4338,11651,No,80,9,0,0,0,3,No,Sometimes,3,3,2,3,11,4
Doreen,IDRD669,F,27,Married,Life Sciences,3,Research & Development,Research Scientist,1,1,896,83,3326,13476,No,80,3,3,1,2,2,No,Sometimes,1,3,1,4,22,3
Doris,IDRD092,F,58,Married,Life Sciences,4,Research & Development,Laboratory Technician,0,4,714,86,3694,17801,No,80,9,3,0,2,5,No,Sometimes,2,3,1,3,18,3
Dorothea,IDRD855,F,42,Single,Life Sciences,4,Research & Development,Manufacturing Director,8,8,1189,65,10463,17848,No,80,7,7,0,7,4,No,Mostly,4,3,3,3,19,4
Dorothy,IDRD027,F,26,Married,Medical,1,Research & Development,Research Scientist,1,1,1158,39,2674,17722,No,80,2,2,2,2,3,No,Sometimes,2,3,1,3,11,3
Douglas,IDRD071,M,36,Married,Life Sciences,2,Research & Development,Laboratory Technician,3,5,1338,83,5863,22891,No,80,4,2,1,2,2,No,Sometimes,1,2,2,3,12,2
Doyle,IDRD934,M,30,Married,Medical,2,Research & Development,Laboratory Technician,1,7,990,75,5724,16250,No,80,10,7,0,9,4,No,Sometimes,4,1,2,3,17,3
Drake,IDRD847,M,26,Married,Life Sciences,3,Research & Development,Laboratory Technician,3,14,1226,69,5577,16995,No,80,9,2,1,0,1,No,Sometimes,3,4,2,4,21,2
Drew,IDSL242,M,40,Married,Marketing,5,Sales,Sales Executive,0,1,1092,90,17950,5999,No,80,10,8,12,9,4,No,Sometimes,4,2,4,3,11,2
Duane,IDRD381,M,23,Married,Medical,2,Research & Development,Research Scientist,1,5,796,37,2234,3374,No,80,1,0,0,0,3,No,Mostly,3,3,1,3,11,3
Dustin,IDSL097,M,28,Married,Marketing,2,Sales,Sales Executive,1,13,109,47,9833,25897,Yes,80,4,3,1,4,2,No,No,1,3,3,3,17,3
Dwayne,IDRD493,M,33,Single,Medical,1,Research & Development,Research Scientist,6,4,200,71,3633,16959,No,80,2,2,2,2,0,No,Sometimes,4,4,1,3,12,3
Dwight,IDRD494,M,41,Single,Technical Degree,4,Research & Development,Manufacturing Director,1,2,1409,100,17454,9851,Yes,80,24,11,14,7,2,No,Sometimes,3,1,5,3,16,3
Dylan,IDRD117,M,48,Single,Technical Degree,3,Research & Development,Research Scientist,1,1,911,84,3062,4720,No,80,5,2,1,3,4,No,Sometimes,3,3,1,3,12,2
Earl,IDRD169,M,40,Married,Life Sciences,3,Research & Development,Laboratory Technician,1,26,235,79,1914,17928,No,80,10,0,1,5,3,No,Mostly,1,3,1,3,13,4
Earnest,IDSL294,M,31,Married,Life Sciences,4,Sales,Sales Executive,0,20,1145,91,4907,22109,No,80,9,7,0,7,0,No,No,1,4,2,3,12,3
Easton,IDRD657,M,34,Divorced,Life Sciences,3,Research & Development,Healthcare Representative,2,6,851,69,5009,2489,No,80,4,3,0,7,6,No,Sometimes,3,2,2,3,11,3
Ebony,IDSL352,F,33,Married,Life Sciences,4,Sales,Sales Executive,1,28,109,98,6213,18045,Yes,80,11,9,8,7,3,No,Sometimes,1,3,2,3,11,3
Eddie,IDRD238,M,28,Divorced,Life Sciences,3,Research & Development,Research Scientist,1,2,1269,92,2979,10430,Yes,80,1,0,0,0,2,No,Sometimes,4,3,1,3,13,4
Eden,IDSL402,F,40,Married,Marketing,2,Sales,Sales Executive,1,5,1374,57,7707,24165,Yes,80,10,9,6,8,1,No,Sometimes,2,2,2,4,22,2
Edgar,IDRD313,M,19,Single,Life Sciences,3,Research & Development,Laboratory Technician,1,6,770,50,2666,16877,No,80,8,4,0,7,2,No,Sometimes,3,3,1,3,12,3
Edith,IDRD192,F,35,Divorced,Medical,2,Research & Development,Laboratory Technician,1,7,549,53,1661,26897,No,80,1,0,0,0,0,Yes,Sometimes,1,3,1,3,17,3
Edmund,IDRD658,M,42,Married,Medical,4,Research & Development,Manufacturing Director,8,8,201,43,3950,26862,No,80,4,2,4,2,5,No,Sometimes,2,3,3,3,12,3
Edna,IDRD162,F,35,Married,Medical,3,Research & Development,Laboratory Technician,1,23,287,40,3386,23964,No,80,2,2,2,2,3,No,Sometimes,3,3,1,3,12,1
Eduardo,IDSL204,M,46,Married,Marketing,4,Sales,Sales Executive,4,26,1018,81,5494,13494,No,80,4,2,0,2,2,No,Mostly,3,3,2,4,20,3
Edward,IDSL008,M,36,Single,Life Sciences,3,Sales,Healthcare Representative,0,3,109,73,13411,21758,No,80,14,4,0,7,5,Yes,Sometimes,3,4,3,3,14,3
Edwin,IDRD211,M,53,Single,Medical,4,Research & Development,Manager,1,16,458,92,17631,26724,Yes,80,20,9,6,8,3,No,No,3,3,3,3,15,4
Effie,IDSL348,F,37,Married,Life Sciences,4,Sales,Sales Executive,0,1,144,33,11521,13353,No,80,19,17,5,8,2,No,No,3,2,5,4,22,3
Eileen,IDRD260,F,47,Married,Life Sciences,5,Research & Development,Manager,3,2,843,66,17142,2137,Yes,80,3,2,0,2,3,No,Sometimes,1,4,4,3,13,2
Elaine,IDRD195,F,29,Married,Medical,1,Research & Development,Laboratory Technician,0,22,327,83,3513,8895,No,80,1,0,0,0,2,No,Mostly,1,4,1,3,13,3
Elbert,IDRD874,M,45,Married,Medical,4,Research & Development,Research Scientist,9,29,360,64,3395,21373,No,80,0,0,0,0,3,No,Mostly,1,3,1,4,23,3
Eleanor,IDRD166,F,35,Single,Life Sciences,2,Research & Development,Laboratory Technician,1,8,623,58,2414,23197,No,80,4,3,1,2,2,Yes,Sometimes,4,2,1,4,21,3
Elena,IDSL244,F,39,Married,Marketing,4,Sales,Sales Representative,7,2,693,77,6273,15762,No,80,10,7,0,8,3,No,Sometimes,1,3,2,3,15,3
Eli,IDRD370,M,28,Single,Medical,4,Research & Development,Laboratory Technician,1,2,351,65,2488,11226,No,80,1,0,1,0,2,No,No,4,3,1,4,22,3
Eliana,IDRD778,F,52,Single,Medical,3,Research & Development,Healthcare Representative,2,2,1156,71,9206,13218,No,80,8,7,7,7,5,No,No,3,3,4,3,19,3
Elias,IDRD481,M,45,Divorced,Life Sciences,3,Research & Development,Healthcare Representative,3,20,1058,67,2818,9024,No,80,2,1,0,2,3,No,Sometimes,3,3,2,3,16,3
Elijah,IDRD159,M,40,Divorced,Life Sciences,4,Research & Development,Research Scientist,1,5,780,86,2119,2137,Yes,80,5,0,1,3,2,No,No,3,3,1,3,19,3
Elisa,IDRD728,F,46,Divorced,Medical,4,Research & Development,Manufacturing Director,4,20,1174,46,5220,7577,No,80,17,8,6,7,2,No,Sometimes,3,4,2,3,12,2
Elisabeth,IDRD691,F,45,Single,Life Sciences,4,Research & Development,Laboratory Technician,4,6,808,93,4993,8647,No,80,3,2,1,2,4,No,No,3,4,2,3,16,4
Elise,IDRD533,F,39,Divorced,Medical,2,Research & Development,Human Resources,9,3,844,84,4624,22950,No,80,1,7,1,0,5,No,Mostly,1,3,2,3,12,3
Eliza,IDRD615,F,45,Single,Medical,1,Research & Development,Research Scientist,0,24,366,44,4672,2137,No,80,5,4,0,2,2,No,Sometimes,4,1,2,3,14,3
Elizabeth,IDSL004,F,44,Single,Technical Degree,3,Sales,Sales Representative,2,10,656,32,3691,25202,No,80,2,2,2,2,2,No,Mostly,2,3,1,3,12,2
Ella,IDHR010,F,42,Divorced,Life Sciences,3,Human Resources,Sales Executive,8,10,1342,69,4145,23993,No,80,3,0,1,2,3,No,Sometimes,4,3,2,3,14,2
Ellen,IDRD184,F,27,Single,Medical,1,Research & Development,Laboratory Technician,1,6,282,95,2103,12939,No,80,1,0,0,0,0,Yes,Sometimes,1,3,1,3,12,3
Ellie,IDSL271,F,39,Single,Medical,2,Sales,Sales Executive,2,18,443,57,4439,10793,Yes,80,1,0,0,0,2,No,Sometimes,4,3,2,3,15,4
Elliot,IDSL342,M,25,Single,Life Sciences,2,Sales,Sales Representative,1,5,954,70,2268,17818,No,80,9,0,2,1,3,Yes,No,4,3,1,3,11,3
Elliott,IDRD692,M,46,Divorced,Other,4,Research & Development,Laboratory Technician,1,7,549,99,5700,23018,No,80,10,6,0,9,4,No,Sometimes,1,3,2,3,13,3
Ellis,IDRD747,M,37,Single,Life Sciences,2,Research & Development,Research Scientist,8,24,306,35,2041,3080,No,80,1,0,0,0,3,No,No,3,4,1,3,16,3
Elmer,IDRD361,M,30,Divorced,Life Sciences,4,Research & Development,Laboratory Technician,1,1,1282,50,3814,7947,No,80,5,3,0,3,5,No,Sometimes,2,3,1,3,18,2
Eloise,IDSL308,F,31,Married,Marketing,3,Sales,Sales Representative,1,23,1373,31,1311,21235,No,80,1,0,0,0,2,Yes,Sometimes,3,2,1,3,13,2
Elsa,IDRD946,F,24,Divorced,Human Resources,1,Research & Development,Research Scientist,1,8,877,34,3996,26862,No,80,3,2,0,2,4,No,Sometimes,3,1,1,3,12,2
Elsie,IDSL123,F,39,Married,Technical Degree,2,Sales,Sales Executive,1,8,1259,84,1200,6539,No,80,10,17,15,7,2,No,Mostly,4,3,3,3,13,4
Elva,IDRD906,F,19,Divorced,Life Sciences,1,Research & Development,Laboratory Technician,1,3,134,35,3979,18225,No,80,7,7,0,7,5,No,Sometimes,3,3,1,3,12,3
Emanuel,IDRD664,M,32,Single,Life Sciences,4,Research & Development,Research Scientist,1,7,713,100,2352,9721,No,80,7,7,4,7,2,No,Sometimes,4,3,1,3,11,2
Emil,IDRD896,M,29,Married,Life Sciences,3,Research & Development,Research Scientist,1,23,297,71,3510,6432,Yes,80,4,2,1,2,3,No,Sometimes,4,3,1,3,13,2
Emilia,IDSL383,F,38,Single,Life Sciences,3,Sales,Laboratory Technician,7,4,364,47,1449,6972,No,80,1,0,0,0,2,Yes,Mostly,3,4,1,4,25,3
Emilio,IDRD759,M,31,Married,Life Sciences,2,Research & Development,Manufacturing Director,4,18,174,57,4211,6333,Yes,80,1,0,0,3,5,No,Sometimes,4,3,2,3,15,3
Emily,IDRD039,F,29,Married,Technical Degree,1,Research & Development,Laboratory Technician,1,10,700,45,2514,2125,No,80,1,0,0,0,6,Yes,Sometimes,1,1,1,4,22,3
Emma,IDSL025,F,42,Married,Life Sciences,4,Sales,Manager,3,15,1047,81,19567,2125,Yes,80,8,7,7,14,3,No,Mostly,2,4,3,3,14,3
Emmanuel,IDRD501,M,41,Single,Life Sciences,4,Research & Development,Laboratory Technician,1,8,1109,58,2173,2731,No,80,4,2,0,2,3,No,Sometimes,3,3,1,4,21,3
Emmett,IDRD606,M,38,Married,Life Sciences,3,Research & Development,Healthcare Representative,0,24,774,66,9144,12104,No,80,7,0,0,7,2,No,Sometimes,3,3,2,3,13,3
Enrique,IDRD594,M,39,Single,Other,4,Research & Development,Manager,9,29,628,38,17584,21354,No,80,5,0,0,0,2,No,Sometimes,2,3,3,3,13,3
Eric,IDSL012,M,44,Married,Marketing,4,Sales,Sales Executive,4,9,237,76,4691,3203,No,80,3,2,1,2,5,No,Sometimes,2,3,2,3,11,3
Erica,IDSL088,F,36,Divorced,Medical,2,Sales,Sales Executive,0,20,810,63,6244,19980,No,80,4,3,0,2,4,No,Sometimes,4,3,2,3,17,3
Erick,IDRD517,M,29,Divorced,Medical,1,Research & Development,Laboratory Technician,1,2,1343,76,2609,8132,No,80,5,2,0,2,3,No,Mostly,3,3,1,3,14,2
Erik,IDRD300,M,22,Single,Human Resources,3,Research & Development,Laboratory Technician,1,4,107,57,2300,15176,No,80,2,2,1,3,3,Yes,Sometimes,2,4,1,3,16,3
Erika,IDSL167,F,51,Single,Medical,5,Sales,Manager,1,10,1348,46,13266,7532,No,80,21,17,14,8,3,No,Mostly,1,3,4,3,11,4
Erin,IDRD137,F,52,Married,Technical Degree,3,Research & Development,Healthcare Representative,2,8,1228,68,13741,9078,No,80,20,9,14,10,3,No,Mostly,4,2,4,3,11,3
Erma,IDRD622,F,35,Married,Other,3,Research & Development,Research Director,1,12,917,31,6932,21551,No,80,20,7,6,7,3,No,Sometimes,4,3,2,3,15,3
Ernest,IDSL068,M,31,Single,Marketing,3,Sales,Sales Executive,1,10,593,91,4503,14568,No,80,3,4,7,2,2,No,Sometimes,4,3,2,3,18,3
Ernestine,IDSL345,F,28,Married,Marketing,2,Sales,Sales Executive,1,9,170,90,6337,14079,No,80,5,4,0,0,2,Yes,Sometimes,1,3,2,3,12,3
Ernesto,IDSL346,M,33,Single,Life Sciences,3,Sales,Sales Executive,2,14,1442,96,8242,2125,Yes,80,0,0,0,0,3,No,Sometimes,1,3,3,3,14,3
Ervin,IDRD793,M,47,Divorced,Other,2,Research & Development,Healthcare Representative,5,20,109,57,6337,26897,Yes,80,7,7,0,7,3,No,Mostly,3,2,2,3,12,2
Esmeralda,IDSL333,F,34,Divorced,Life Sciences,4,Sales,Sales Executive,1,6,111,92,18844,9018,Yes,80,10,17,2,14,2,No,Mostly,1,3,3,3,15,3
Essie,IDRD783,F,36,Single,Life Sciences,2,Research & Development,Manufacturing Director,4,6,481,48,7800,22137,No,80,10,7,0,8,2,Yes,Sometimes,3,2,3,3,15,3
Esteban,IDRD907,M,47,Married,Medical,5,Research & Development,Research Scientist,0,2,1126,76,2940,6966,No,80,2,2,2,2,0,No,Sometimes,1,3,1,3,17,4
Estella,IDRD779,F,36,Single,Life Sciences,3,Research & Development,Laboratory Technician,1,2,585,52,1823,16619,No,80,3,2,1,2,5,No,Mostly,3,3,1,3,12,4
Estelle,IDSL306,F,28,Single,Marketing,3,Sales,Sales Representative,0,6,137,90,4451,21318,No,80,4,2,1,2,2,No,Sometimes,3,3,1,3,11,4
